stratum,seed_id,source_matching_allowed,question,risk_flags,hard_errors,source_spans,human_review,human_notes
flagged,SEED_ICLR2026_83995c2acef585ae0f0d647154cfdd85,True,"[MASKED_ENTITY] sampling reduces the latency of autoregressive decoding for target model LLMs without sacrificing inference quality, by using a cheap draft model to suggest a candidate token and a verification criterion to accept or resample this token. To improve acceptance and decoding efficiency, recent work has explored the multi-draft extension, where at each step $n$ draft tokens are generated, and the verification criterion is a distribution conditioned on these.

OBSERVED PROBLEM / OPEN QUESTION However, finding the OT is difficult, as it is the solution of a linear program ([MASKED_ENTITY]) in over $V^n$ variables, with $V$ being the vocabulary size. Then, we reverse engineer subset selection to formulate the [MASKED_ENTITY] as a max-flow problem.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 249, ""text"": ""Speculative sampling reduces the latency of autoregressive decoding for target model LLMs without sacrificing inference quality, by using a cheap draft model to suggest a candidate token and a verification criterion to accept or resample this token.""}, {""start"": 250, ""end"": 470, ""text"": ""To improve acceptance and decoding efficiency, recent work has explored the multi-draft extension, where at each step $n$ draft tokens are generated, and the verification criterion is a distribution conditioned on these.""}, {""start"": 589, ""end"": 736, ""text"": ""However, finding the OT is difficult, as it is the solution of a linear program (OTLP) in over $V^n$ variables, with $V$ being the vocabulary size.""}, {""start"": 979, ""end"": 1066, ""text"": ""Then, we reverse engineer subset selection to formulate the OTLP as a max-flow problem.""}]",,
flagged,SEED_ICLR2026_11bcd94ac570b4e6fdca65b4b88b7a59,True,"Fault-tolerant [MASKED_ENTITY] Processing Units (QPUs) promise to deliver exponential speed-ups in select computational tasks, yet their integration into modern deep learning pipelines remains unclear. In this work, we take a step towards bridging this gap by presenting the first fully-coherent quantum implementation of a multilayer neural network with non-linear activation functions.

OBSERVED PROBLEM / OPEN QUESTION Fault-tolerant [MASKED_ENTITY] Processing Units (QPUs) promise to deliver exponential speed-ups in select computational tasks, yet their integration into modern deep learning pipelines remains unclear. In this work, we take a step towards bridging this gap by presenting the first fully-coherent quantum implementation of a multilayer neural network with non-linear activation functions.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 193, ""text"": ""Fault-tolerant Quantum Processing Units (QPUs) promise to deliver exponential speed-ups in select computational tasks, yet their integration into modern deep learning pipelines remains unclear.""}, {""start"": 194, ""end"": 379, ""text"": ""In this work, we take a step towards bridging this gap by presenting the first fully-coherent quantum implementation of a multilayer neural network with non-linear activation functions.""}]",,
flagged,SEED_ICLR2026_32727f9e251e1a6301fc61a435ef15ee,True,"A central goal of cognitive modeling is to develop models that not only predict human behavior but also provide insight into the underlying cognitive mechanisms. While neural network models trained on large-scale behavioral data often achieve strong predictive performance, they typically fall short in offering interpretable explanations of the cognitive processes they capture.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 161, ""text"": ""A central goal of cognitive modeling is to develop models that not only predict human behavior but also provide insight into the underlying cognitive mechanisms.""}, {""start"": 162, ""end"": 379, ""text"": ""While neural network models trained on large-scale behavioral data often achieve strong predictive performance, they typically fall short in offering interpretable explanations of the cognitive processes they capture.""}]",,
flagged,SEED_ICLR2026_25869dbf7682272357bc2cbbf860e1c8,True,"In recent months, large language models (LLMs) have made significant progress in mathematical proof generation, but further advancement is hindered by the lack of a large-scale, high-quality dataset of human-evaluated proofs. While expensive to create, such a dataset is essential for driving improvements in training and addressing key open questions in the field of automated proof generation.

OBSERVED PROBLEM / OPEN QUESTION In recent months, large language models (LLMs) have made significant progress in mathematical proof generation, but further advancement is hindered by the lack of a large-scale, high-quality dataset of human-evaluated proofs. Specifically, it remains unknown (1) how large the gap is between natural language and formal proof generation, (2) how final-answer accuracy relates to full proof correctness, and (3) how best-of-n selection strategies can affect proof quality.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 225, ""text"": ""In recent months, large language models (LLMs) have made significant progress in mathematical proof generation, but further advancement is hindered by the lack of a large-scale, high-quality dataset of human-evaluated proofs.""}, {""start"": 226, ""end"": 395, ""text"": ""While expensive to create, such a dataset is essential for driving improvements in training and addressing key open questions in the field of automated proof generation.""}, {""start"": 396, ""end"": 641, ""text"": ""Specifically, it remains unknown (1) how large the gap is between natural language and formal proof generation, (2) how final-answer accuracy relates to full proof correctness, and (3) how best-of-n selection strategies can affect proof quality.""}]",,
flagged,SEED_ICLR2026_fe5d4bd3e2af823701b5d8f70a3c7602,True,"[MASKED_ENTITY] intelligence is essential for multimodal large language models (MLLMs) operating in the complex physical world. Existing benchmarks, however, probe only single-image relations and thus fail to assess the multi-image spatial reasoning that real-world deployments demand.

OBSERVED PROBLEM / OPEN QUESTION Six 3D-vision researchers spent more than 300 hours meticulously crafting 1,000 challenging, unambiguous multiple-choice questions from over 120,000 images, each paired with carefully designed distractors and a stepwise reasoning process. We conduct extensive experiments and evaluate 37 open-source and proprietary MLLMs, observing a wide gap: the strongest open-source model attains roughly 30\% accuracy and OpenAI's [MASKED_ENTITY]-5 reasoning model reaches 40\%, while humans score 97\%.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 119, ""text"": ""Spatial intelligence is essential for multimodal large language models (MLLMs) operating in the complex physical world.""}, {""start"": 120, ""end"": 277, ""text"": ""Existing benchmarks, however, probe only single-image relations and thus fail to assess the multi-image spatial reasoning that real-world deployments demand.""}, {""start"": 366, ""end"": 604, ""text"": ""Six 3D-vision researchers spent more than 300 hours meticulously crafting 1,000 challenging, unambiguous multiple-choice questions from over 120,000 images, each paired with carefully designed distractors and a stepwise reasoning process.""}, {""start"": 605, ""end"": 846, ""text"": ""We conduct extensive experiments and evaluate 37 open-source and proprietary MLLMs, observing a wide gap: the strongest open-source model attains roughly 30\\% accuracy and OpenAI's GPT-5 reasoning model reaches 40\\%, while humans score 97\\%.""}]",,
repair,SEED_ICLR2026_271fc1853b460580815651f7912af3fb,False,"prior work discusses a target-aware video diffusion model that generates videos from an input image, in which an actor interacts with a specified target while performing a desired action. The target is defined by a segmentation mask, and the action is described through a text prompt.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""EXPLICIT_FOCAL_SOLUTION_UNREPAIRED""]",[],"[{""start"": 0, ""end"": 177, ""text"": ""We present a target-aware video diffusion model that generates videos from an input image, in which an actor interacts with a specified target while performing a desired action.""}, {""start"": 178, ""end"": 274, ""text"": ""The target is defined by a segmentation mask, and the action is described through a text prompt.""}]",,
repair,SEED_ICLR2026_2b00b3331bd0f5fbfdd966ac06338f6d,False,"[MASKED_ENTITY] detection in low-light environments is inherently challenging due to limited contrast and heavy noise, both of which significantly degrade feature representations. In this paper, prior work discusses a novel self-guided low-light object detection framework that effectively addresses these issues without introducing additional parameters or increasing inference time.

OBSERVED PROBLEM / OPEN QUESTION [MASKED_ENTITY] detection in low-light environments is inherently challenging due to limited contrast and heavy noise, both of which significantly degrade feature representations. Notably, experiments on the nuImages dataset show that prior work discusses can outperform domain adaptation methods—especially when a large domain gap between source and target domains is inevitable in the real-world applications—highlighting its practical effectiveness.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""EXPLICIT_FOCAL_SOLUTION_UNREPAIRED"", ""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 170, ""text"": ""Object detection in low-light environments is inherently challenging due to limited contrast and heavy noise, both of which significantly degrade feature representations.""}, {""start"": 171, ""end"": 365, ""text"": ""In this paper, we propose a novel self-guided low-light object detection framework that effectively addresses these issues without introducing additional parameters or increasing inference time.""}, {""start"": 1023, ""end"": 1287, ""text"": ""Notably, experiments on the nuImages dataset show that our approach can outperform domain adaptation methods\u2014especially when a large domain gap between source and target domains is inevitable in the real-world applications\u2014highlighting its practical effectiveness.""}]",,
repair,SEED_ICLR2026_226a7922f708db0fb992dd62f75dd228,False,"[MASKED_ENTITY] [MASKED_ENTITY] [MASKED_ENTITY] (SNNs) represent a promising paradigm for energy-efficient neuromorphic computing due to their bio-plausible and spike-driven characteristics. However, the robustness of SNNs in complex adversarial environments remains significantly constrained.

OBSERVED PROBLEM / OPEN QUESTION We find that these neurons set the upper limits for the maximum potential strength of adversarial attacks and are prone to state-flipping under minor disturbances. To address this challenge, prior work discusses a Threshold Guarding Optimization ([MASKED_ENTITY]) method, which comprises two key aspects.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""EXPLICIT_FOCAL_SOLUTION_UNREPAIRED"", ""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 166, ""text"": ""Spiking Neural Networks (SNNs) represent a promising paradigm for energy-efficient neuromorphic computing due to their bio-plausible and spike-driven characteristics.""}, {""start"": 167, ""end"": 269, ""text"": ""However, the robustness of SNNs in complex adversarial environments remains significantly constrained.""}, {""start"": 433, ""end"": 596, ""text"": ""We find that these neurons set the upper limits for the maximum potential strength of adversarial attacks and are prone to state-flipping under minor disturbances.""}, {""start"": 597, ""end"": 715, ""text"": ""To address this challenge, we propose a Threshold Guarding Optimization (TGO) method, which comprises two key aspects.""}]",,
repair,SEED_ICLR2026_065d979b1f599f66e8293cc33ee29708,False,"[MASKED_ENTITY] models have recently become the dominant paradigm for image generation, yet existing systems struggle to interpret and follow numeric instructions for adjusting semantic attributes. In real-world creative scenarios, especially when precise control over aesthetic attributes is required, current methods fail to provide such controllability.

OBSERVED PROBLEM / OPEN QUESTION This limitation partly arises from the subjective and context-dependent nature of aesthetic judgments, but more fundamentally stems from the fact that current text encoders are designed for discrete tokens rather than continuous values. To address this gap, prior work discusses [MASKED_ENTITY], a lightweight framework for continuous aesthetic intensity control in diffusion models.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""EXPLICIT_FOCAL_SOLUTION_UNREPAIRED"", ""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 191, ""text"": ""Diffusion models have recently become the dominant paradigm for image generation, yet existing systems struggle to interpret and follow numeric instructions for adjusting semantic attributes.""}, {""start"": 192, ""end"": 350, ""text"": ""In real-world creative scenarios, especially when precise control over aesthetic attributes is required, current methods fail to provide such controllability.""}, {""start"": 351, ""end"": 587, ""text"": ""This limitation partly arises from the subjective and context-dependent nature of aesthetic judgments, but more fundamentally stems from the fact that current text encoders are designed for discrete tokens rather than continuous values.""}, {""start"": 1020, ""end"": 1152, ""text"": ""To address this gap, we introduce AttriCtrl, a lightweight framework for continuous aesthetic intensity control in diffusion models.""}]",,
repair,SEED_ICLR2026_706338a08f9378b708f21cbf5686e617,False,"The rapid progress of large vision-language models (VLMs), such as [MASKED_ENTITY], has spurred the development of a wide range of neural decoding frameworks. Nevertheless, most existing approaches still suffer from semantic mismatches during representational alignment.

OBSERVED PROBLEM / OPEN QUESTION This challenge may stem from the fact that the human brain does not distribute attention uniformly across a visual scene, but rather selectively encodes salient or relevant regions. To address this challenge, prior work discusses Yo'Mind, a novel optimal transport (OT)-driven personalized multimodal semantic masking framework designed to bridge the semantic gap between brain and machines in interpreting visual scenes.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""EXPLICIT_FOCAL_SOLUTION_UNREPAIRED"", ""distinctive_phrase_leak""]",[],"[{""start"": 0, ""end"": 147, ""text"": ""The rapid progress of large vision-language models (VLMs), such as CLIP, has spurred the development of a wide range of neural decoding frameworks.""}, {""start"": 148, ""end"": 259, ""text"": ""Nevertheless, most existing approaches still suffer from semantic mismatches during representational alignment.""}, {""start"": 260, ""end"": 441, ""text"": ""This challenge may stem from the fact that the human brain does not distribute attention uniformly across a visual scene, but rather selectively encodes salient or relevant regions.""}, {""start"": 546, ""end"": 775, ""text"": ""To address this challenge, we propose Yo'Mind, a novel optimal transport (OT)-driven personalized multimodal semantic masking framework designed to bridge the semantic gap between brain and machines in interpreting visual scenes.""}]",,
