paper_id,boundary_sample,source_text,provisional_route,source_spans,numeric_purity,human_route,human_purity_descriptor,human_notes
ICLR2025_8951bbdcf234132bcce680825e7cb354,False,"MeteoRA: Multiple-tasks Embedded LoRA for Large Language Models The pretrain+fine-tune paradigm is foundational for deploying large language models (LLMs) across various downstream applications. Within this framework, Low-Rank Adaptation (LoRA) stands out for its parameter-efficient fine-tuning (PEFT), producing numerous reusable task-specific LoRA adapters. However, this approach requires explicit task intention selection, posing challenges for autonomous task sensing and switching during inference with multiple existing LoRA adapters embedded in a single LLM. In this work, we introduce MeteoRA (Multiple-Tasks embedded LoRA), a scalable and efficient framework that reuses multiple task-specific LoRA adapters into the base LLM via a full-mode Mixture-of-Experts (MoE) architecture. This framework also includes novel MoE forward acceleration strategies to address the efficiency challenges of traditional MoE implementations. Our evaluation, using the LlaMA2-13B and LlaMA3-8B base models equipped with 28 existing LoRA adapters through MeteoRA, demonstrates equivalent performance with the traditional PEFT method. Moreover, the LLM equipped with MeteoRA achieves superior performance in handling composite tasks, effectively solving ten sequential problems in a single inference pass, thereby demonstrating the framework's enhanced capability for timely adapter switching.",BUILD_IMPROVE,"[{""end"": 594, ""route"": ""BUILD_IMPROVE"", ""start"": 585, ""term"": ""introduce"", ""text"": ""introduce""}, {""end"": 216, ""route"": ""BUILD_IMPROVE"", ""start"": 207, ""term"": ""framework"", ""text"": ""framework""}, {""end"": 1124, ""route"": ""BUILD_IMPROVE"", ""start"": 1118, ""term"": ""method"", ""text"": ""method""}, {""end"": 790, ""route"": ""BUILD_IMPROVE"", ""start"": 778, ""term"": ""architecture"", ""text"": ""architecture""}, {""end"": 283, ""route"": ""BUILD_IMPROVE"", ""start"": 274, ""term"": ""efficient"", ""text"": ""efficient""}, {""end"": 826, ""route"": ""BUILD_IMPROVE"", ""start"": 821, ""term"": ""novel"", ""text"": ""novel""}, {""end"": 86, ""route"": ""BUILD_IMPROVE"", ""start"": 77, ""term"": ""fine-tune"", ""text"": ""fine-tune""}, {""end"": 950, ""route"": ""MEASURE_EVALUATE"", ""start"": 940, ""term"": ""evaluation"", ""text"": ""evaluation""}]",,,,
ICLR2025_acde98fb254b8021d194ccdb80a1241e,False,"GenSE: Generative Speech Enhancement via Language Models using Hierarchical Modeling Semantic information refers to the meaning conveyed through words, phrases, and contextual relationships within a given linguistic structure. Humans can leverage semantic information, such as familiar linguistic patterns and contextual cues, to reconstruct incomplete or masked speech signals in noisy environments. However, existing speech enhancement (SE) approaches often overlook the rich semantic information embedded in speech, which is crucial for improving intelligibility, speaker consistency, and overall quality of enhanced speech signals. To enrich the SE model with semantic information, we employ language models as an efficient semantic learner and propose a comprehensive framework tailored for language model-based speech enhancement, called GenSE. Specifically, we approach SE as a conditional language modeling task rather than a continuous signal regression problem defined in existing works. This is achieved by tokenizing speech signals into semantic tokens using a pre-trained self-supervised model and into acoustic tokens using a custom-designed single-quantizer neural codec model. To improve the stability of language model predictions, we propose a hierarchical modeling method that decouples the generation of clean semantic tokens and clean acoustic tokens into two distinct stages. Moreover, we introduce a token chain prompting mechanism during the acoustic token generation stage to ensure timbre consistency throughout the speech enhancement process. Experimental results on benchmark datasets demonstrate that our proposed approach outperforms state-of-the-art SE systems in terms of speech quality and generalization capability. Codes and demos are publicly available at https://anonymous.4open.science/w/gen-se-7F52/.",BUILD_IMPROVE,"[{""end"": 756, ""route"": ""BUILD_IMPROVE"", ""start"": 749, ""term"": ""propose"", ""text"": ""propose""}, {""end"": 1420, ""route"": ""BUILD_IMPROVE"", ""start"": 1411, ""term"": ""introduce"", ""text"": ""introduce""}, {""end"": 782, ""route"": ""BUILD_IMPROVE"", ""start"": 773, ""term"": ""framework"", ""text"": ""framework""}, {""end"": 1290, ""route"": ""BUILD_IMPROVE"", ""start"": 1284, ""term"": ""method"", ""text"": ""method""}, {""end"": 658, ""route"": ""BUILD_IMPROVE"", ""start"": 653, ""term"": ""model"", ""text"": ""model""}, {""end"": 1203, ""route"": ""BUILD_IMPROVE"", ""start"": 1196, ""term"": ""improve"", ""text"": ""improve""}, {""end"": 727, ""route"": ""BUILD_IMPROVE"", ""start"": 718, ""term"": ""efficient"", ""text"": ""efficient""}, {""end"": 1603, ""route"": ""MEASURE_EVALUATE"", ""start"": 1594, ""term"": ""benchmark"", ""text"": ""benchmark""}, {""end"": 1454, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 1445, ""term"": ""mechanism"", ""text"": ""mechanism""}, {""end"": 1737, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 1723, ""term"": ""generalization"", ""text"": ""generalization""}]",,,,
ICLR2025_fbf49f35b6dd2bef1ad12768c0509daa,False,"Scaling Long Context Training Data by Long-Distance Referrals Training large language models for long context understanding faces the challenge of data shortage.Previous data engineering approaches mechanically concatenate short documents, which may create many pseudo long documents but raise concerns about data quality.In this paper, we study the core attribute of high quality data for long context training, and provide a data pipeline, LongPack, to scalesuch data.We found that long distance referrals, which occur in natural long documents, are crucial for long-context training.However, simply concatenating short documents does not reliably generate these relations.We further show that the density of long-distance referrals, which is higher in longer documents, has a key role in training efficiency, making previous upsampling methods suboptimal.To enrich long documents, we propose LongPack, a data pipeline that constructs long documents by packing shorter ones based on referral relationships.Specifically, for web pages, which are the primary source for language model training, we found hyper-link a native signal for such a relation.By packing web pages through their hyper-link connection, we can create longer, high-quality documents.Our experiments demonstrate that LongPackis highly scalable, generating a corpus of long documents equivalent in size to an entire pretraining dataset using just 0.5% root documents.Furthermore, the constructed documents have a ‘near-natural’ quality as innate long documents for long context training, reaching a 32.7% higher score than previous state-of-the-art methods.",BUILD_IMPROVE,"[{""end"": 894, ""route"": ""BUILD_IMPROVE"", ""start"": 887, ""term"": ""propose"", ""text"": ""propose""}, {""end"": 1084, ""route"": ""BUILD_IMPROVE"", ""start"": 1079, ""term"": ""model"", ""text"": ""model""}, {""end"": 29, ""route"": ""BUILD_IMPROVE"", ""start"": 21, ""term"": ""training"", ""text"": ""Training""}, {""end"": 658, ""route"": ""BUILD_IMPROVE"", ""start"": 650, ""term"": ""generate"", ""text"": ""generate""}, {""end"": 1404, ""route"": ""MEASURE_EVALUATE"", ""start"": 1397, ""term"": ""dataset"", ""text"": ""dataset""}]",,,,
ICLR2025_f3680ca31afcb9076846950dbc72c7e3,True,"A Unified Theory of Quantum Neural Network Loss Landscapes Classical neural networks with random initialization famously behave as Gaussian processes in the limit of many neurons, which allows one to completely characterize their training and generalization behavior. No such general understanding exists for quantum neural networks (QNNs), which—outside of certain special cases—are known to not behave as Gaussian processes when randomly initialized. We here prove that QNNs and their first two derivatives instead generally form what we call ""Wishart processes,"" where certain algebraic properties of the network determine the hyperparameters of the process. This Wishart process description allows us to, for the first time: give necessary and sufficient conditions for a QNN architecture to have a Gaussian process limit; calculate the full gradient distribution, generalizing previously known barren plateau results; and calculate the local minima distribution of algebraically constrained QNNs. Our unified framework suggests a certain simple operational definition for the ""trainability"" of a given QNN model using a newly introduced, experimentally accessible quantity we call the ""degrees of freedom"" of the network architecture.",BUILD_IMPROVE,"[{""end"": 1023, ""route"": ""BUILD_IMPROVE"", ""start"": 1014, ""term"": ""framework"", ""text"": ""framework""}, {""end"": 1116, ""route"": ""BUILD_IMPROVE"", ""start"": 1111, ""term"": ""model"", ""text"": ""model""}, {""end"": 792, ""route"": ""BUILD_IMPROVE"", ""start"": 780, ""term"": ""architecture"", ""text"": ""architecture""}, {""end"": 238, ""route"": ""BUILD_IMPROVE"", ""start"": 230, ""term"": ""training"", ""text"": ""training""}, {""end"": 16, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 10, ""term"": ""theory"", ""text"": ""Theory""}, {""end"": 223, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 211, ""term"": ""characterize"", ""text"": ""characterize""}, {""end"": 257, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 243, ""term"": ""generalization"", ""text"": ""generalization""}]",,,,
ICLR2025_7349b8b5a6737dd36031c77212eab3ad,True,"You Only Prune Once: Designing Calibration-Free Model Compression With Policy Learning The ever-increasing size of large language models (LLMs) presents significant challenges for deployment due to their heavy computational and memory requirements. Current model pruning techniques attempt to alleviate these issues by relying heavily on external calibration datasets to determine which parameters to prune or compress, thus limiting their flexibility and scalability across different compression ratios. Moreover, these methods often cause severe performance degradation, particularly in downstream tasks, when subjected to higher compression rates. In this paper, we propose PruneNet , a novel model compression method that addresses these limitations by reformulating model pruning as a policy learning process. PruneNet decouples the pruning process from the model architecture, eliminating the need for calibration datasets. It learns a stochastic pruning policy to assess parameter importance solely based on intrinsic model properties while preserving the spectral structure to minimize information loss. PruneNet can compress the LLaMA-2-7B model in just 15 minutes, achieving over 80\% retention of its zero-shot performance with a 30\% compression ratio, outperforming existing methods that retain only 75\% performance. Furthermore, on complex multitask language understanding tasks, PruneNet demonstrates its robustness by preserving up to 80\% performance of the original model, proving itself a superior alternative to conventional structured compression techniques.",BUILD_IMPROVE,"[{""end"": 676, ""route"": ""BUILD_IMPROVE"", ""start"": 669, ""term"": ""propose"", ""text"": ""propose""}, {""end"": 720, ""route"": ""BUILD_IMPROVE"", ""start"": 714, ""term"": ""method"", ""text"": ""method""}, {""end"": 53, ""route"": ""BUILD_IMPROVE"", ""start"": 48, ""term"": ""model"", ""text"": ""Model""}, {""end"": 881, ""route"": ""BUILD_IMPROVE"", ""start"": 869, ""term"": ""architecture"", ""text"": ""architecture""}, {""end"": 695, ""route"": ""BUILD_IMPROVE"", ""start"": 690, ""term"": ""novel"", ""text"": ""novel""}, {""end"": 1431, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 1421, ""term"": ""robustness"", ""text"": ""robustness""}, {""end"": 753, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 742, ""term"": ""limitations"", ""text"": ""limitations""}, {""end"": 977, ""route"": ""MEASURE_EVALUATE"", ""start"": 971, ""term"": ""assess"", ""text"": ""assess""}]",,,,
ICLR2025_9a6f6e0d6781d1cb8689192408946d73,True,"AniSDF: Fused-Granularity Neural Surfaces with Anisotropic Encoding for High-Fidelity 3D Reconstruction Neural radiance fields have recently revolutionized novel-view synthesis and achieved high-fidelity renderings. However, these methods sacrifice the geometry for the rendering quality, limiting their further applications including relighting and deformation. How to synthesize photo-realistic rendering while reconstructing accurate geometry remains an unsolved problem. In this work, we present AniSDF, a novel approach that learns fused-granularity neural surfaces with physics-based encoding for high-fidelity 3D reconstruction. Different from previous neural surfaces, our fused-granularity geometry structure balances the overall structures and fine geometric details, producing accurate geometry reconstruction. To disambiguate geometry from reflective appearance, we introduce blended radiance fields to model diffuse and specularity following the anisotropic spherical Gaussian encoding, a physics-based rendering pipeline. With these designs, AniSDF can reconstruct objects with complex structures and produce high-quality renderings. Furthermore, our method is a unified model that does not require complex hyperparameter tuning for specific objects. Extensive experiments demonstrate that our method boosts the quality of SDF-based methods by a great scale in both geometry reconstruction and novel-view synthesis.",BUILD_IMPROVE,"[{""end"": 887, ""route"": ""BUILD_IMPROVE"", ""start"": 878, ""term"": ""introduce"", ""text"": ""introduce""}, {""end"": 499, ""route"": ""BUILD_IMPROVE"", ""start"": 492, ""term"": ""present"", ""text"": ""present""}, {""end"": 1171, ""route"": ""BUILD_IMPROVE"", ""start"": 1165, ""term"": ""method"", ""text"": ""method""}, {""end"": 920, ""route"": ""BUILD_IMPROVE"", ""start"": 915, ""term"": ""model"", ""text"": ""model""}, {""end"": 161, ""route"": ""BUILD_IMPROVE"", ""start"": 156, ""term"": ""novel"", ""text"": ""novel""}]",,,,
ICLR2025_f02a7dd6bd3d038b51d092d99e74c638,False,"Verifying Properties of Binary Neural Networks Using Sparse Polynomial Optimization This paper explores methods for verifying the properties of Binary Neural Networks (BNNs), focusing on robustness against adversarial attacks. Despite their lower computational and memory needs, BNNs, like their full-precision counterparts, are also sensitive to input perturbations. Established methods for solving this problem are predominantly based on Satisfiability Modulo Theories and Mixed-Integer Linear Programming techniques, which are characterized by NP complexity and often face scalability issues.We introduce an alternative approach using Semidefinite Programming relaxations derived from sparse Polynomial Optimization. Our approach, compatible with continuous input space, not only mitigates numerical issues associated with floating-point calculations but also enhances verification scalability through the strategic use of tighter first-order semidefinite relaxations. We demonstrate the effectiveness of our method in verifying robustness against both $\||.|\|_\infty$ and $\||.|\|_2$-based adversarial attacks.",DIAGNOSE_STRESS_TEST,"[{""end"": 607, ""route"": ""BUILD_IMPROVE"", ""start"": 598, ""term"": ""introduce"", ""text"": ""introduce""}, {""end"": 1018, ""route"": ""BUILD_IMPROVE"", ""start"": 1012, ""term"": ""method"", ""text"": ""method""}, {""end"": 197, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 187, ""term"": ""robustness"", ""text"": ""robustness""}, {""end"": 217, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 206, ""term"": ""adversarial"", ""text"": ""adversarial""}]",,,,
ICLR2025_401aa72e0e3be680348a5b0ffdb1a5aa,False,"Exact Certification of (Graph) Neural Networks Against Label Poisoning Machine learning models are highly vulnerable to label flipping, i.e., the adversarial modification (poisoning) of training labels to compromise performance. Thus, deriving robustness certificates is important to guarantee that test predictions remain unaffected and to understand worst-case robustness behavior. However, for Graph Neural Networks (GNNs), the problem of certifying label flipping has so far been unsolved. We change this by introducing an exact certification method, deriving both sample-wise and collective certificates. Our method leverages the Neural Tangent Kernel (NTK) to capture the training dynamics of wide networks enabling us to reformulate the bilevel optimization problem representing label flipping into a Mixed-Integer Linear Program (MILP). We apply our method to certify a broad range of GNN architectures in node classification tasks. Thereby, concerning the worst-case robustness to label flipping: $(i)$ we establish hierarchies of GNNs on different benchmark graphs; $(ii)$ quantify the effect of architectural choices such as activations, depth and skip-connections; and surprisingly, $(iii)$ uncover a novel phenomenon of the robustness plateauing for intermediate perturbation budgets across all investigated datasets and architectures. While we focus on GNNs, our certificates are applicable to sufficiently wide NNs in general through their NTK. Thus, our work presents the first exact certificate to a poisoning attack ever derived for neural networks, which could be of independent interest. The code is available at https://github.com/saper0/qpcert.",DIAGNOSE_STRESS_TEST,"[{""end"": 553, ""route"": ""BUILD_IMPROVE"", ""start"": 547, ""term"": ""method"", ""text"": ""method""}, {""end"": 194, ""route"": ""BUILD_IMPROVE"", ""start"": 186, ""term"": ""training"", ""text"": ""training""}, {""end"": 1218, ""route"": ""BUILD_IMPROVE"", ""start"": 1213, ""term"": ""novel"", ""text"": ""novel""}, {""end"": 254, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 244, ""term"": ""robustness"", ""text"": ""robustness""}, {""end"": 157, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 146, ""term"": ""adversarial"", ""text"": ""adversarial""}, {""end"": 1533, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 1527, ""term"": ""attack"", ""text"": ""attack""}, {""end"": 1067, ""route"": ""MEASURE_EVALUATE"", ""start"": 1058, ""term"": ""benchmark"", ""text"": ""benchmark""}, {""end"": 293, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 284, ""term"": ""guarantee"", ""text"": ""guarantee""}, {""end"": 351, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 341, ""term"": ""understand"", ""text"": ""understand""}]",,,,
ICLR2025_bb363e99bcaaa36a891ca927151ffb9a,False,"Isometric Regularization for Manifolds of Functional Data While conventional data are represented as discrete vectors, Implicit Neural Representations (INRs) utilize neural networks to represent data points as continuous functions. By incorporating a shared network that maps latent vectors to individual functions, one can model the distribution of functional data, which has proven effective in many applications, such as learning 3D shapes, surface reflectance, and operators.However, the infinite-dimensional nature of these representations makes them prone to overfitting, necessitating sufficient regularization. Naïve regularization methods -- those commonly used with discrete vector representations -- may enforce smoothness to increase robustness but result in a loss of data fidelity due to improper handling of function coordinates. To overcome these challenges, we start by interpreting the mapping from latent variables to INRs as a parametrization of a Riemannian manifold. We then recognize that preserving geometric quantities -- such as distances and angles -- between the latent space and the data manifold is crucial. As a result, we obtain a manifold with minimal intrinsic curvature, leading to robust representations while maintaining high-quality data fitting. Our experiments on various data modalities demonstrate that our method effectively discovers a well-structured latent space, leading to robust data representations even for challenging datasets, such as those that are small or noisy.",DIAGNOSE_STRESS_TEST,"[{""end"": 1355, ""route"": ""BUILD_IMPROVE"", ""start"": 1349, ""term"": ""method"", ""text"": ""method""}, {""end"": 329, ""route"": ""BUILD_IMPROVE"", ""start"": 324, ""term"": ""model"", ""text"": ""model""}, {""end"": 756, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 746, ""term"": ""robustness"", ""text"": ""robustness""}]",,,,
ICLR2025_1a49f6959d8d9b8535769ba94bbdc9b1,True,"GenVP: Generating Visual Puzzles with Contrastive Hierarchical VAEs Raven’s Progressive Matrices (RPMs) is an established benchmark to examinethe ability to perform high-level abstract visual reasoning (AVR). Despite the current success of algorithms that solve this task, humans can generalize beyond a given puzzle and create new puzzles given a set of rules, whereas machines remain locked in solving a fixed puzzle from a curated choice list. We propose Generative Visual Puzzles (GenVP), a framework to model the entire RPM generation process, a substantially more challenging task. Our model’s capability spans from generating multiple solutions for one specific problem prompt to creating complete new puzzles out of the desired set of rules. Experiments on five different datasets indicate that GenVP achieves state-of-the-art (SOTA) performance both in puzzle-solving accuracy and out-of-distribution (OOD) generalization in 22 outof 24 OOD scenarios. Further, compared to SOTA generative approaches, which struggle to solve RPMs when the feasible solution space increases, GenVP efficiently generalizes to these challenging scenarios. Moreover, our model demonstrates the ability to produce a wide range of complete RPMs given a set of abstract rules by effectively capturing the relationships between abstract rules and visual object properties.",DIAGNOSE_STRESS_TEST,"[{""end"": 457, ""route"": ""BUILD_IMPROVE"", ""start"": 450, ""term"": ""propose"", ""text"": ""propose""}, {""end"": 504, ""route"": ""BUILD_IMPROVE"", ""start"": 495, ""term"": ""framework"", ""text"": ""framework""}, {""end"": 513, ""route"": ""BUILD_IMPROVE"", ""start"": 508, ""term"": ""model"", ""text"": ""model""}, {""end"": 909, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 890, ""term"": ""out-of-distribution"", ""text"": ""out-of-distribution""}, {""end"": 914, ""route"": ""DIAGNOSE_STRESS_TEST"", ""start"": 911, ""term"": ""ood"", ""text"": ""OOD""}, {""end"": 131, ""route"": ""MEASURE_EVALUATE"", ""start"": 122, ""term"": ""benchmark"", ""text"": ""benchmark""}, {""end"": 930, ""route"": ""EXPLAIN_MECHANISM_THEORY"", ""start"": 916, ""term"": ""generalization"", ""text"": ""generalization""}]",,,,
