review_item_id,block_key,original_problem_context,current_method_masked_seed,source_spans,deterministic_duplicate_diagnostic,deterministic_generic_terms_masked,deterministic_solution_prescribing_spans,reviewer_id,review_round,comprehensible,method_neutral,solution_leakage,duplicated_or_malformed,multi_route_open,source_faithful,seed_decision,failure_types,approved_repair_text,reviewer_rationale
541204399e9a7c1a1d1350b1,03d24e1f3f0d2e26d3310901,"Generalizing deep reinforcement learning agents to unseen environments remains a significant challenge. One promising solution is Unsupervised Environment Design (UED), a co‑evolutionary framework in which a teacher adaptively generates tasks with high learning potential, while a student learns a robust policy from this evolving curriculum. Generalizing deep reinforcement learning agents to unseen environments remains a significant challenge. One promising solution is Unsupervised Environment Design (UED), a co‑evolutionary framework in which a teacher adaptively generates tasks with high learning potential, while a student learns a robust policy from this evolving curriculum.","Generalizing deep reinforcement learning agents to unseen environments remains a significant challenge. One promising solution is Unsupervised [MASKED_ENTITY] [MASKED_ENTITY] ([MASKED_ENTITY]), a co‑evolutionary framework in which a teacher adaptively generates tasks with high learning potential, while a student learns a robust policy from this evolving curriculum.

OBSERVED PROBLEM / OPEN QUESTION Generalizing deep reinforcement learning agents to unseen environments remains a significant challenge. One promising solution is Unsupervised [MASKED_ENTITY] [MASKED_ENTITY] ([MASKED_ENTITY]), a co‑evolutionary framework in which a teacher adaptively generates tasks with high learning potential, while a student learns a robust policy from this evolving curriculum.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":103,""start"":0,""text"":""Generalizing deep reinforcement learning agents to unseen environments remains a significant challenge.""},{""end"":342,""start"":104,""text"":""One promising solution is Unsupervised Environment Design (UED), a co‑evolutionary framework in which a teacher adaptively generates tasks with high learning potential, while a student learns a robust policy from this evolving curriculum.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Approximation"",""Co-learnability"",""Design"",""Environment"",""Regret"",""TRACED"",""Transition-aware"",""UED""]","[{""end"":342,""start"":104,""text"":""One promising solution is Unsupervised Environment Design (UED), a co‑evolutionary framework in which a teacher adaptively generates tasks with high learning potential, while a student learns a robust policy from this evolving curriculum.""}]",,,,,,,,,,,,
c9ebf340753d14a45fddcded,0b45eca86417b0828be5ee61,"The evaluation of vision-language models (VLMs) has mainly relied on English-language benchmarks, leaving significant gaps in both multilingual and multicultural coverage. While multilingual benchmarks have expanded, both in size and language, many rely on translations of English datasets, failing to capture cultural nuances. Kaleidoscope is a large-scale, in-language multimodal benchmark designed to evaluate VLMs across diverse languages and visual inputs. We evaluate top-performing multilingual vision-language models and find that they perform poorly on low-resource languages and in complex multimodal scenarios.","The evaluation of vision-language models (VLMs) has mainly relied on English-language benchmarks, leaving significant gaps in both multilingual and multicultural coverage. While multilingual benchmarks have expanded, both in size and language, many rely on translations of English datasets, failing to capture cultural nuances.

OBSERVED PROBLEM / OPEN QUESTION [MASKED_ENTITY] is a large-scale, in-language multimodal benchmark designed to evaluate VLMs across diverse languages and visual inputs. We evaluate top-performing multilingual vision-language models and find that they perform poorly on low-resource languages and in complex multimodal scenarios.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":171,""start"":0,""text"":""The evaluation of vision-language models (VLMs) has mainly relied on English-language benchmarks, leaving significant gaps in both multilingual and multicultural coverage.""},{""end"":327,""start"":172,""text"":""While multilingual benchmarks have expanded, both in size and language, many rely on translations of English datasets, failing to capture cultural nuances.""},{""end"":608,""start"":475,""text"":""Kaleidoscope is a large-scale, in-language multimodal benchmark designed to evaluate VLMs across diverse languages and visual inputs.""},{""end"":1036,""start"":877,""text"":""We evaluate top-performing multilingual vision-language models and find that they perform poorly on low-resource languages and in complex multimodal scenarios.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Evaluation"",""Exams"",""In-language"",""Kaleidoscope"",""Massively"",""Multilingual"",""Vision""]",[],,,,,,,,,,,,
e33e374ab1fb2d6ed6f7945a,0c6669318c4b2016c0db9d95,"Dynamic Time Warping (DTW) is a classical method for measuring similarity between time series, but its non-differentiability hinders integration into end-to-end learning frameworks. To address this, soft-DTW replaces the minimum operator with a smooth soft-min, enabling differentiability and efficient computation. The literature indicates an unresolved technical limitation or uncertainty in this area.","[MASKED_ENTITY] [MASKED_ENTITY] [MASKED_ENTITY] ([MASKED_ENTITY]) is a classical method for measuring similarity between time series, but its non-differentiability hinders integration into end-to-end learning frameworks. To address this, soft-[MASKED_ENTITY] replaces the minimum operator with a smooth soft-min, enabling differentiability and efficient computation.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":181,""start"":0,""text"":""Dynamic Time Warping (DTW) is a classical method for measuring similarity between time series, but its non-differentiability hinders integration into end-to-end learning frameworks.""},{""end"":315,""start"":182,""text"":""To address this, soft-DTW replaces the minimum operator with a smooth soft-min, enabling differentiability and efficient computation.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""DTW"",""Dynamic"",""Framework"",""GEV"",""Generalized"",""Perturbed"",""Probabilistic"",""Time"",""Variants"",""Warping""]","[{""end"":181,""start"":0,""text"":""Dynamic Time Warping (DTW) is a classical method for measuring similarity between time series, but its non-differentiability hinders integration into end-to-end learning frameworks.""}]",,,,,,,,,,,,
8e728890c5014fe50df3301d,14fd07d3eba29a1569a38a44,"Recent advances have shown that scaling test-time computation enables large language models (LLMs) to solve increasingly complex problems across diverse domains. One effective paradigm for test-time scaling (TTS) involves LLM generators producing multiple solution candidates, with LLM verifiers assessing the correctness of these candidates without reference answers. We systematically analyze verification dynamics across three dimensions -- problem difficulty, generator capability, and verifier generation capability -- through empirical studies on 12 benchmarks across mathematical reasoning, knowledge, and natural language reasoning tasks using 14 open-source models (2B to 72B parameter range) and GPT-4o. Our experiments reveal three key findings about verification effectiveness: (1) Easy problems allow verifiers to more reliably certify correct responses; (2) Weak generators produce errors that are easier to detect than strong generators; (3) Verification ability is generally correlated with the verifier's own problem-solving capability, but this relationship varies with problem difficulty.","Recent advances have shown that scaling test-time computation enables large language models (LLMs) to solve increasingly complex problems across diverse domains. One effective paradigm for test-time scaling ([MASKED_ENTITY]) involves [MASKED_ENTITY] generators producing multiple solution candidates, with [MASKED_ENTITY] verifiers assessing the correctness of these candidates without reference answers.

OBSERVED PROBLEM / OPEN QUESTION We systematically analyze verification dynamics across three dimensions -- problem difficulty, generator capability, and verifier generation capability -- through empirical studies on 12 benchmarks across mathematical reasoning, knowledge, and natural language reasoning tasks using 14 open-source models (2B to 72B parameter range) and [MASKED_ENTITY]-4o. Our experiments reveal three key findings about verification effectiveness: (1) Easy problems allow verifiers to more reliably certify correct responses; (2) Weak generators produce errors that are easier to detect than strong generators; (3) [MASKED_ENTITY] ability is generally correlated with the verifier's own problem-solving capability, but this relationship varies with problem difficulty.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":161,""start"":0,""text"":""Recent advances have shown that scaling test-time computation enables large language models (LLMs) to solve increasingly complex problems across diverse domains.""},{""end"":368,""start"":162,""text"":""One effective paradigm for test-time scaling (TTS) involves LLM generators producing multiple solution candidates, with LLM verifiers assessing the correctness of these candidates without reference answers.""},{""end"":863,""start"":519,""text"":""We systematically analyze verification dynamics across three dimensions -- problem difficulty, generator capability, and verifier generation capability -- through empirical studies on 12 benchmarks across mathematical reasoning, knowledge, and natural language reasoning tasks using 14 open-source models (2B to 72B parameter range) and GPT-4o.""},{""end"":1257,""start"":864,""text"":""Our experiments reveal three key findings about verification effectiveness: (1) Easy problems allow verifiers to more reliably certify correct responses; (2) Weak generators produce errors that are easier to detect than strong generators; (3) Verification ability is generally correlated with the verifier's own problem-solving capability, but this relationship varies with problem difficulty.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Dynamics"",""GPT"",""LLM"",""Language"",""Large"",""TTS"",""Understanding"",""Variation"",""Verification""]",[],,,,,,,,,,,,
c59e5c62ee3a049f5dd39839,254f17109e7eaeb5bb6043da,"In this paper, we challenge the prevailing view that information dependency (including rote memorization) drives training data exposure to image reconstruction attacks. We show that extensive exposure can persist without rote memorization and is instead caused by a tunable connection to adversarial robustness. In this paper, we challenge the prevailing view that information dependency (including rote memorization) drives training data exposure to image reconstruction attacks. We begin by presenting three surprising results: (1) recent defenses that inhibit reconstruction by Model Inversion Attacks (MIAs), which evaluate leakage under an idealized attacker, do not reduce standard measures of information dependency (HSIC); (2) models that maximally memorize their training datasets remain robust to MIA reconstruction; and (3) models trained without seeing 97% of the training pixels, where recent information-theoretic bounds give arbitrarily strong privacy guarantees under standard assumptions, can still be devastatingly reconstructed by MIA.","In this paper, we challenge the prevailing view that information dependency (including rote memorization) drives training data exposure to image reconstruction attacks. We show that extensive exposure can persist without rote memorization and is instead caused by a tunable connection to adversarial robustness.

OBSERVED PROBLEM / OPEN QUESTION In this paper, we challenge the prevailing view that information dependency (including rote memorization) drives training data exposure to image reconstruction attacks. We begin by presenting three surprising results: (1) recent defenses that inhibit reconstruction by Model Inversion Attacks (MIAs), which evaluate leakage under an idealized attacker, do not reduce standard measures of information dependency ([MASKED_ENTITY]); (2) models that maximally memorize their training datasets remain robust to [MASKED_ENTITY] reconstruction; and (3) models trained without seeing 97% of the training pixels, where recent information-theoretic bounds give arbitrarily strong privacy guarantees under standard assumptions, can still be devastatingly reconstructed by [MASKED_ENTITY].

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":168,""start"":0,""text"":""In this paper, we challenge the prevailing view that information dependency (including rote memorization) drives training data exposure to image reconstruction attacks.""},{""end"":311,""start"":169,""text"":""We show that extensive exposure can persist without rote memorization and is instead caused by a tunable connection to adversarial robustness.""},{""end"":885,""start"":312,""text"":""We begin by presenting three surprising results: (1) recent defenses that inhibit reconstruction by Model Inversion Attacks (MIAs), which evaluate leakage under an idealized attacker, do not reduce standard measures of information dependency (HSIC); (2) models that maximally memorize their training datasets remain robust to MIA reconstruction; and (3) models trained without seeing 97% of the training pixels, where recent information-theoretic bounds give arbitrarily strong privacy guarantees under standard assumptions, can still be devastatingly reconstructed by MIA.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Adversarially"",""HSIC"",""MIA"",""Reducing""]","[{""end"":168,""start"":0,""text"":""In this paper, we challenge the prevailing view that information dependency (including rote memorization) drives training data exposure to image reconstruction attacks.""},{""end"":885,""start"":312,""text"":""We begin by presenting three surprising results: (1) recent defenses that inhibit reconstruction by Model Inversion Attacks (MIAs), which evaluate leakage under an idealized attacker, do not reduce standard measures of information dependency (HSIC); (2) models that maximally memorize their training datasets remain robust to MIA reconstruction; and (3) models trained without seeing 97% of the training pixels, where recent information-theoretic bounds give arbitrarily strong privacy guarantees under standard assumptions, can still be devastatingly reconstructed by MIA.""}]",,,,,,,,,,,,
1fee7406fa8c416ec74046af,2d5366323b2629e2f0a6863c,"Recent work has applied differential privacy (DP) to adapt large language models (LLMs) for sensitive applications, offering theoretical guarantees. However, its practical effectiveness remains unclear, partly due to LLM pretraining, where overlaps and interdependencies with adaptation data can undermine privacy despite DP efforts. However, its practical effectiveness remains unclear, partly due to LLM pretraining, where overlaps and interdependencies with adaptation data can undermine privacy despite DP efforts. To analyze this issue in practice, we investigate privacy risks under DP adaptations in LLMs using state-of-the-art attacks such as robust membership inference and canary data extraction.","Recent work has applied differential privacy (DP) to adapt large language models (LLMs) for sensitive applications, offering theoretical guarantees. However, its practical effectiveness remains unclear, partly due to [MASKED_ENTITY] pretraining, where overlaps and interdependencies with adaptation data can undermine privacy despite DP efforts.

OBSERVED PROBLEM / OPEN QUESTION However, its practical effectiveness remains unclear, partly due to [MASKED_ENTITY] pretraining, where overlaps and interdependencies with adaptation data can undermine privacy despite DP efforts. To analyze this issue in practice, we investigate privacy risks under DP adaptations in LLMs using state-of-the-art attacks such as robust membership inference and canary data extraction.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":148,""start"":0,""text"":""Recent work has applied differential privacy (DP) to adapt large language models (LLMs) for sensitive applications, offering theoretical guarantees.""},{""end"":333,""start"":149,""text"":""However, its practical effectiveness remains unclear, partly due to LLM pretraining, where overlaps and interdependencies with adaptation data can undermine privacy despite DP efforts.""},{""end"":521,""start"":334,""text"":""To analyze this issue in practice, we investigate privacy risks under DP adaptations in LLMs using state-of-the-art attacks such as robust membership inference and canary data extraction.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Adaptations"",""Benchmarking"",""Empirical"",""IID"",""LLM"",""Language"",""Large"",""OOD"",""Privacy"",""Protection""]",[],,,,,,,,,,,,
1668a77450d05d0f66820e85,3028da58e4e7fb9b0bf4d280,"Deep learning models, such as wide neural networks, can be viewed as nonlinear dynamical systems composed of numerous interacting degrees of freedom. When such systems approach the limit of infinite number of degrees of freedom, their dynamics tend to simplify. The literature indicates an unresolved technical limitation or uncertainty in this area.","Deep learning models, such as wide neural networks, can be viewed as nonlinear dynamical systems composed of numerous interacting degrees of freedom. When such systems approach the limit of infinite number of degrees of freedom, their dynamics tend to simplify.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":149,""start"":0,""text"":""Deep learning models, such as wide neural networks, can be viewed as nonlinear dynamical systems composed of numerous interacting degrees of freedom.""},{""end"":261,""start"":150,""text"":""When such systems approach the limit of infinite number of degrees of freedom, their dynamics tend to simplify.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Correlations"",""Gradient-Based"",""Linearization"",""Principle"",""Systems"",""Underlying"",""Weak""]",[],,,,,,,,,,,,
29a4829441be6fe68130b333,345b55b6ef513c049c91d1e1,"LLM-as-a-Judge has been widely adopted across various research and practical applications, yet the robustness and reliability of its evaluation remain a critical issue. A core challenge it faces is bias, which has primarily been studied in terms of known biases and their impact on evaluation outcomes, while automated and systematic exploration of potential unknown biases is still lacking. LLM-as-a-Judge has been widely adopted across various research and practical applications, yet the robustness and reliability of its evaluation remain a critical issue. A core challenge it faces is bias, which has primarily been studied in terms of known biases and their impact on evaluation outcomes, while automated and systematic exploration of potential unknown biases is still lacking.","[MASKED_ENTITY]-as-a-Judge has been widely adopted across various research and practical applications, yet the robustness and reliability of its evaluation remain a critical issue. A core challenge it faces is bias, which has primarily been studied in terms of known biases and their impact on evaluation outcomes, while automated and systematic exploration of potential unknown biases is still lacking.

OBSERVED PROBLEM / OPEN QUESTION [MASKED_ENTITY]-as-a-Judge has been widely adopted across various research and practical applications, yet the robustness and reliability of its evaluation remain a critical issue. A core challenge it faces is bias, which has primarily been studied in terms of known biases and their impact on evaluation outcomes, while automated and systematic exploration of potential unknown biases is still lacking.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":168,""start"":0,""text"":""LLM-as-a-Judge has been widely adopted across various research and practical applications, yet the robustness and reliability of its evaluation remain a critical issue.""},{""end"":391,""start"":169,""text"":""A core challenge it faces is bias, which has primarily been studied in terms of known biases and their impact on evaluation outcomes, while automated and systematic exploration of potential unknown biases is still lacking.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Automated"",""Bias"",""BiasScope"",""Detection"",""Evaluation"",""LLM"",""LLM-as-a-Judge"",""Towards""]",[],,,,,,,,,,,,
53ef0ee3a2c504f0307b69e4,462fb658f17ec65a917d8229,"Reward is critical to the evaluation and training of large language models (LLMs). However, existing rule-based or model-based reward methods struggle to generalize to GUI agents, where access to ground-truth trajectories or application databases is often unavailable, and static trajectory-based LLM-as-a-Judge approaches suffer from limited accuracy. The literature indicates an unresolved technical limitation or uncertainty in this area.","[MASKED_ENTITY] is critical to the evaluation and training of large language models (LLMs). However, existing rule-based or model-based reward methods struggle to generalize to [MASKED_ENTITY] agents, where access to ground-truth trajectories or application databases is often unavailable, and static trajectory-based [MASKED_ENTITY]-as-a-Judge approaches suffer from limited accuracy.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":82,""start"":0,""text"":""Reward is critical to the evaluation and training of large language models (LLMs).""},{""end"":352,""start"":83,""text"":""However, existing rule-based or model-based reward methods struggle to generalize to GUI agents, where access to ground-truth trajectories or application databases is often unavailable, and static trajectory-based LLM-as-a-Judge approaches suffer from limited accuracy.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Actor"",""Agents"",""Collaboration"",""GUI"",""LLM"",""ProRe"",""Proactive"",""Reasoner"",""Reward"",""System""]","[{""end"":82,""start"":0,""text"":""Reward is critical to the evaluation and training of large language models (LLMs).""},{""end"":352,""start"":83,""text"":""However, existing rule-based or model-based reward methods struggle to generalize to GUI agents, where access to ground-truth trajectories or application databases is often unavailable, and static trajectory-based LLM-as-a-Judge approaches suffer from limited accuracy.""}]",,,,,,,,,,,,
ec82fb61773a3520dfc310bd,4844eeb62260f97d3459e381,"Data-Free Robustness Distillation (DFRD) aims to transfer the robustness from the teacher to the student without accessing the training data. While existing methods focus on overall robustness, they overlook the robust fairness issues, leading to severe disparity of robustness across different categories. While existing methods focus on overall robustness, they overlook the robust fairness issues, leading to severe disparity of robustness across different categories. For the proportion, FERD adopts a robustness guided class reweighting strategy to synthesize more samples for the less robust categories, thereby improving robustness of them.","[MASKED_ENTITY] [MASKED_ENTITY] [MASKED_ENTITY] ([MASKED_ENTITY]) aims to transfer the robustness from the teacher to the student without accessing the training data. While existing methods focus on overall robustness, they overlook the robust fairness issues, leading to severe disparity of robustness across different categories.

OBSERVED PROBLEM / OPEN QUESTION While existing methods focus on overall robustness, they overlook the robust fairness issues, leading to severe disparity of robustness across different categories. For the proportion, [MASKED_ENTITY] adopts a robustness guided class reweighting strategy to synthesize more samples for the less robust categories, thereby improving robustness of them.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[{""end"":141,""start"":0,""text"":""Data-Free Robustness Distillation (DFRD) aims to transfer the robustness from the teacher to the student without accessing the training data.""},{""end"":306,""start"":142,""text"":""While existing methods focus on overall robustness, they overlook the robust fairness issues, leading to severe disparity of robustness across different categories.""},{""end"":910,""start"":735,""text"":""For the proportion, FERD adopts a robustness guided class reweighting strategy to synthesize more samples for the less robust categories, thereby improving robustness of them.""}]","{""duplicate_paragraph_count"":0,""duplicate_paragraphs"":[],""paragraph_count"":3}","[""Adversarial"",""CIFAR"",""DFRD"",""Data-Free"",""Distillation"",""FERD"",""Fairness-Enhanced"",""NSD"",""Robustness""]","[{""end"":141,""start"":0,""text"":""Data-Free Robustness Distillation (DFRD) aims to transfer the robustness from the teacher to the student without accessing the training data.""}]",,,,,,,,,,,,
