seed_id,route_pair_id,bank_id,matched_slots,masked_question,risk_flags,allowed_scope,ARS_eligible,human_relevance,human_equipoise,human_non_subsumption,human_notes
SEED_ICLR2026_1ed4723f12853cbd02aecb8160f5e0c9,R1,d82a2ac7b321a5dbcd20db56c7bb16a9f2fda1b369433772d793c5f8f211d902,5,"Automatic tool generation ([MASKED_ENTITY]) has emerged as a key approach to enable the automatic adaptation across diverse tasks within a single generalist agent. Despite their potential, we argue that current [MASKED_ENTITY] agents, often built on reactive paradigms, fail to effectively adapt to realistic environments requiring long-term reasoning and stateful interaction, particularly in office ecosystems.

OBSERVED PROBLEM / OPEN QUESTION This performance degradation stems from three fundamental limitations of prevailing agent paradigms: (1) a failure to build a coherent world model from long, partially observable contexts; (2) a memory-less execution model where stateless actions fail to track state evolution during iterative tasks; and (3) a static capability generation model focusing on one-shot tool generation for immediate needs, thereby forcing redundant regeneration for similar steps.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_4f84e81c0a4eed2024cebcfb8f9d6e7f,R1,e4193da1fc5f5e176e35ee307d8b597e84144a8050e17c98415282814fc12a58,11,"Large Language Models (LLMs) can produce catastrophic responses in conversational settings that pose serious risks to public safety and security. Existing evaluations often fail to fully reveal these vulnerabilities because they rely on fixed attack prompt sequences, lack statistical guarantees, and do not scale to the vast space of multi-turn conversations.

OBSERVED PROBLEM / OPEN QUESTION Existing evaluations often fail to fully reveal these vulnerabilities because they rely on fixed attack prompt sequences, lack statistical guarantees, and do not scale to the vast space of multi-turn conversations.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_19f461132d8ed04764f58f88b7a8e842,R1,b8f4e598ff8197c037495633cde2f82074d0ee178f0a3363a3b72e41b479a5bb,4,"Consider episodic Markov decision processes (MDPs) with adversarially chosen transition kernels, where the transition kernel is adversarially chosen at each episode. Prior works have established regret upper bounds of $\widetilde{\mathcal{O}}(\sqrt{T} + C^P)$, where $T$ is the number of episodes and $C^P$ quantifies the degree of adversarial change in the transition dynamics.

OBSERVED PROBLEM / OPEN QUESTION Such a regret cannot be achieved by simply solving this problem as a contextual bandit.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_78847077020397ffff2479316c318073,R1,2ef2e15828ecb77827255cc353250e58ca364de2820ffbb5ff027cea6b3b0f2d,4,"Traditional multimodal learners find unified representations for tasks like visual question answering, but rely heavily on large paired datasets. However, an overlooked yet potentially powerful question is: can one leverage auxiliary $\textit{unpaired}$ multimodal data to directly enhance representation learning in a $\textit{target}$ modality?

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_97b73904e88cc1dc0a3485595eda3753,R1,cfb81bf79d15051850337669cd7758ef29f351513c7bd324866f9c0cbd0ae801,4,"Large vision-language models (VLMs) achieve strong performance in [MASKED_ENTITY] [MASKED_ENTITY] [MASKED_ENTITY] but still rely heavily on supervised fine-tuning ([MASKED_ENTITY]) with massive labeled datasets, which is costly due to human annotations. Crucially, real-world datasets often exhibit human uncertainty ( HU ) — variation in human confidence across annotations, but standard [MASKED_ENTITY] simply optimizes toward the most frequent label, disregarding HU distributions.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.",[],F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_e2768a283a8a31e2aea08e4e5e384579,R2,8e15d88bc3d83bd2d6af5a620d475a459d6365c0dfd38af727caffa04d7d1fc6,5,"[MASKED_ENTITY] news undermines societal trust and decision-making across politics, economics, health, and international relations, and in extreme cases threatens human lives and societal safety. Because fake news reflects region-specific political, social, and cultural contexts and is expressed in language, evaluating the risks of large language models (LLMs) requires a multi-lingual and regional perspective.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_979d5a0ecc2cc3653928c5b793fc416b,R2,450139f37ea3eb770cfe6446316fa0ce96f80c6a6a5abb093cb6d7a9e3802cac,4,"Existing reinforcement learning (RL) methods struggle with complex dynamical systems that demand interactions at high frequencies or irregular time intervals. Continuous-time RL ([MASKED_ENTITY]) has emerged as a promising alternative by replacing discrete-time Bellman recursion with differentiable value functions defined as viscosity solutions of the Hamilton–Jacobi–Bellman ([MASKED_ENTITY]) equation.

OBSERVED PROBLEM / OPEN QUESTION This limitation stems from two key challenges: (i) conventional methods for solving [MASKED_ENTITY] equations suffer from the curse of dimensionality (CoD), making them intractable in high-dimensional systems; and (ii) even with learning-based approaches to alleviate the CoD, accurately approximating centralized value functions in multi-agent settings remains difficult, which in turn destabilizes policy training. We evaluate prior work discusses using continuous‑time variants of standard benchmarks, including multi‑agent particle environment ([MASKED_ENTITY]) and multi‑agent MuJoCo.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_61b3a82a6a37574b64c6485e6a7e0535,R2,cdb4eb5045203471d14041c159d3e3489d8417cbe243fe9ca2b7da2e2070a135,8,"The [MASKED_ENTITY]-as-a-judge paradigm is widely used in both evaluating free-text model responses and reward modeling for model alignment and fine-tuning. Recently, fine-tuning judges with judge-specific data has emerged as an often preferred choice over directly prompting frontier models as judges, as the former achieves better performance with smaller model sizes while being more robust to common biases.

OBSERVED PROBLEM / OPEN QUESTION Recently, fine-tuning judges with judge-specific data has emerged as an often preferred choice over directly prompting frontier models as judges, as the former achieves better performance with smaller model sizes while being more robust to common biases. Experiments suggest that future-proofing is challenging for most models, while backward-compatibility is relatively easy, with [MASKED_ENTITY]-trained models consistently *improving* performance.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_4a29e8bc94b4c5d21d58a4fffdff800b,R2,7d38b2a981cafce1924189ecbc03ea38eb15c663ff8ff008bbf03a500150b126,14,"Temporal point processes (TPPs) have emerged as powerful tools for modeling asynchronous event sequences. While recent advances have extended TPPs to handle textual information, existing approaches are limited in their ability to generate rich, multimodal content and reason about event dynamics.

OBSERVED PROBLEM / OPEN QUESTION A key challenge is that incorporating multimodal data dramatically increases sequence length, hindering the ability of attention-based models to generate coherent, long-form textual descriptions that require long-range understanding. prior work discusses addresses the long-context problem through an adaptive sequence compression mechanism based on temporal similarity, which reduces sequence length while preserving essential patterns.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_ea1a7f7bc0fc14142106a84c94c826d0,R2,287464369088fe00fd705dfb806f1bfad00a4a57597c7da1a1ee86c710cea7f1,5,"[MASKED_ENTITY] neural networks (SNNs) leverage cellular sheaves to induce flexible diffusion processes on graphs, generalizing the diffusion mechanism of classical graph neural networks. While SNNs have been shown to cope well with heterophilic tasks and alleviate oversmoothing, we show that there is further room for improving sheaf diffusion.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
